名称,住所
R_新宿西口,"東京都新宿区西新宿1-20-3西新宿髙木ビル7F,8F"
R_新宿南口,"東京都渋谷区千駄ヶ谷5-27-3やまとビル1F,8F"
R_新宿パークタワー,東京都新宿区西新宿3-7-1新宿パークタワーN棟30F
R_新宿イーストサイドスクエア,東京都新宿区新宿6-27-30新宿イーストサイドスクエアB1F
R_オープンオフィス西新宿駅前,東京都新宿区西新宿8-11-10星野ビル3F
R_錦糸町アルカセントラル,東京都墨田区錦糸1-2-1アルカセントラル14F
R_オープンオフィス立川駅南,"東京都立川市錦町1-4-20TSCビル5F,6F"
R_町田駅前,"東京都町田市森野1-36-2セレステ町田1F,2F"
R_Regus Express羽田空港第1ターミナル,東京都大田区羽田空港3-3-2羽田空港第1旅客ターミナル5F（マーケットプレイス5F）
R_SPACES大手町ビル,東京都千代田区大手町1-6-1大手町ビル1F?3F
R_SPACES品川,東京都港区港南2-16-1品川イーストワンタワー7F?8F
R_SPACES新宿,東京都新宿区西新宿1-4-11全研プラザビル
R_SPACES六本木,東京都港区六本木7-12-2R7ビルディング
R_SPACES赤坂,東京都港区赤坂2-5-8ヒューリック赤坂JPタワー3F?6F
R_千葉大栄ビル,千葉県千葉市中央区富士見1-14-13千葉大栄ビル8F
R_横浜ランドマークプラザ,神奈川県横浜市西区みなとみらい2-2-1横浜ランドマークプラザ5F
R_横浜ランドマークタワー,神奈川県横浜市西区みなとみらい2-2-1横浜ランドマークタワー20F
R_横浜ブルーアベニュー,神奈川県横浜市西区みなとみらい4-4-2横浜ブルーアベニュー12F
R_関内,神奈川県横浜市中区尾上町4-57横浜尾上町ビルディング8F
R_新横浜スクエア,神奈川県横浜市港北区新横浜2-3-12新横浜スクエア14F
R_新横浜,神奈川県横浜市港北区新横浜2-5-14WISENEXT新横浜3F
R_横浜スカイビル,神奈川県横浜市西区高島2-19-12横浜スカイビル20F
R_横浜駅西口,"神奈川県横浜市西区北幸1-11-5相鉄ビル6F,9F"
R_オープンオフィス横浜金港町,神奈川県横浜市神奈川区金港町7-3金港ビル7F
R_オープンオフィス本厚木駅前,"神奈川県厚木市中町4-14-1サクセス本厚木ビル5F,6F"
R_つくば,"茨城県つくば市吾妻1-5-7ダイワロイネットホテルつくばビル1F,2F"
R_オープンオフィス水戸,茨城県水戸市泉町2-2-33水戸泉町ビル7F
R_静岡葵タワー,静岡県静岡市葵区紺屋町17-1葵タワー1F
R_浜松駅南口,"静岡県浜松市中央区砂山町355-4ハマキョウレックス浜松駅南ビル（旧静銀・大東京砂山ビル）3F,4F"
R_浜松駅北口,静岡県浜松市中央区鍛冶町140浜松Cビル4F
R_SPACES JPタワー名古屋,愛知県名古屋市中村区名駅1-1-1JPタワー名古屋21F
R_KDX名古屋駅前ビル,愛知県名古屋市中村区名駅3-26-8KDX名古屋駅前ビル13F
R_名古屋駅東口,愛知県名古屋市中村区名駅2-45-14東進名駅ビル4F
R_大名古屋ビルヂング,"愛知県名古屋市中村区名駅3-28-12大名古屋ビルヂング11F,25F"
R_名駅,愛知県名古屋市中村区名駅4-6-23第三堀内ビル9F
R_名古屋栄ガスビル,愛知県名古屋市中区栄3-15-33栄ガスビル13F
R_広小路ガーデンアベニュー,"愛知県名古屋市中村区名駅4-24-16広小路ガーデンアベニュー3F,4F"
R_名古屋国際センター駅前,愛知県名古屋市中村区名駅5-4-14花車ビル北館1F?2F
R_サンテラス三河安城,愛知県安城市三河安城南町1丁目-15-8サンテラス三河安城ビル6F
R_オープンオフィス名古屋丸の内,愛知県名古屋市中区錦2-5-5八木兵伝馬町ビル3F
R_オープンオフィス名古屋伏見,愛知県名古屋市中区錦1-5-11名古屋伊藤忠ビル4F
R_オープンオフィス名駅南,"愛知県名古屋市中村区名駅5-31-10リンクス名駅ビル5F,6F"
R_オープンオフィス刈谷,愛知県刈谷市若松町3-9YFBLDG3F
R_オープンオフィス豊田,愛知県豊田市小坂本町1-5-5YAMATOBLDG2F
R_日本生命新潟,新潟県新潟市中央区東大通2丁目4-10日本生命新潟ビル9F
R_オープンオフィス新潟,新潟県新潟市中央区上大川前通七番町1230-7ストークビル鏡橋7F
R_長野駅前,"長野県長野市大字栗田2125長栄長野東口ビル1F,2F"
R_オープンオフィス長野駅善光寺口,長野県長野市大字南長野西後町1597-1長野朝日八十二ビル4F
R_富山電気ビルディング,富山県富山市桜橋通り3-1富山電気ビルディング本館2F
R_金沢パークビル,石川県金沢市広岡3-1-1金沢パークビル8F
R_金沢駅東,"石川県金沢市彦三町1-2-1アソルティ金沢彦三ビル1F,3F"
R_Signature 大阪梅田ツインタワーズ・サウス,大阪府大阪市北区梅田1-13-1大阪梅田ツインタワーズ・サウス15F
R_大阪梅田ツインタワーズ・ノース,大阪府大阪市北区角田町8-1大阪梅田ツインタワーズ・ノース19F
R_あべのハルカス,大阪府大阪市阿倍野区阿倍野筋1-1-43あべのハルカス31F
R_近鉄難波ビル,大阪市中央区難波4-1-15近鉄難波ビル1F?3F
R_なんばパークス,大阪府大阪市浪速区難波中2-10-70なんばパークスタワー19F
R_梅田阪急グランドビル,大阪府大阪市北区角田町8-47阪急グランドビル20F
R_阪急ターミナルビル,大阪府大阪市大阪市北区芝田1-1-4阪急ターミナルビル16F
R_大阪国際ビルディング,大阪府大阪市中央区安土町2-3-13大阪国際ビルディング31F
R_新大阪阪急ビル,大阪府大阪市淀川区宮原1-1-1新大阪阪急ビル3F
R_パシフィックマークス西梅田,大阪府大阪市北区梅田2-6-20パシフィックマークス西梅田4F
R_梅田スクエア,"大阪府大阪市北区梅田1-12-17JRE梅田スクエアビル(旧梅田スクエアビルディング)1F,B1F"
R_オープンオフィス西阪急梅田,大阪市北区芝田2-1-18西阪急ビル1F
R_オープンオフィス大阪福島,大阪市福島区福島5-6-16ラグザ大阪2F
R_オープンオフィス御堂筋,大阪府大阪市中央区淡路町3-5-13創建御堂筋ビル2F
R_オープンオフィス大阪平野町,"大阪府大阪市中央区平野町2-5-8平野町センチュリービル2F,3F"
R_オープンオフィス新大阪北,大阪府大阪市淀川区西宮原1-8-24新大阪第3ドイビル6F
R_オープンオフィス京阪淀屋橋,"大阪府大阪市中央区北浜3-2-25京阪淀屋橋ビル8F,9F"
R_リージャスエクスプレス千里中央駅,大阪府豊中市新千里東町1-4-1阪急千里中央ビル
R_リージャスエクスプレス阪急茨木市駅,大阪府茨木市双葉町10-1茨木東阪急ビル
R_京都四条烏丸,"京都府京都市下京区四条通室町東入函谷鉾町101アーバンネット四条烏丸ビル6F,7F"
R_オープンオフィス京都烏丸,"京都府京都市中京区梅忠町24番地三条COHJUビル4F,5F"
R_オープンオフィス京都河原町御池,京都府京都市中京区河原町通二条下ル一之船入町376クロトビル3F?5F
R_神戸国際会館,兵庫県神戸市中央区御幸通8-1-6神戸国際会館22F
R_リージャスエクスプレス阪急伊丹駅,兵庫県伊丹市西台1-1-1伊丹阪急ビル（伊丹リータ）
R_オープンオフィス神戸三宮南,"兵庫県神戸市中央区磯辺通1-1-20KOWAビル1F,3F"
R_姫路駅前,兵庫県姫路市南町63ミツワビル1F～4F
R_岡山第一セントラル,岡山県岡山市北区本町6-36第一セントラルビル4F
R_岡山アクロスキューブ,"岡山県岡山市北区下石井一丁目1-17アクロスキューブ岡山駅前ビル2F,3F"
R_広島駅前,広島県広島市東区二葉の里3-5-7GRANODE広島3F
R_ひろしまハイビル21,広島県広島市中区銀山町3-1ひろしまハイビル2116F
R_新広島ビルディング,広島県広島市中区幟町新広島ビルディング13-151F?2F
R_オープンオフィス広島大手町,広島県広島市中区大手町3-1-3IT大手町ビル6F
R_広島稲荷大橋,"広島県広島市中区橋本町9-7ビル博丈（旧穴吹広島ビル）5F,8F"
R_高松,香川県高松市寿町2-2-10高松寿町プライムビル4F
R_オープンオフィス高松,"香川県高松市中野町29-5高松プラザビル3F,4F"
R_松山市駅前,愛媛県松山市千舟町4-3-7青野ビル1F
R_Signature 福岡大名ガーデンシティ,福岡県福岡市中央区大名2丁目6-50福岡大名ガーデンシティ8F
R_福岡天神スカイホール,福岡県福岡市中央区天神1-4-1西日本新聞会館16F（天神スカイホール内）
R_博多駅博多口,福岡市博多区博多駅前2丁目17-11F・2F
R_JRJP博多ビル,福岡県福岡市博多区博多駅中央街8-1JRJP博多ビル3F
R_アクア博多,福岡県福岡市博多区中洲5-3-8アクア博多5F
R_オープンオフィス博多駅前通り,"福岡県福岡市博多区博多駅前3-27-25第二岡部ビル8F,9F"
R_博多駅筑紫口,"福岡県福岡市博多区博多駅東2-5-19サンライフ第3ビル5F,6F"
R_福岡天神南,福岡県福岡市中央区渡辺通5-14-12南天神ビル3F
R_オープンオフィス西鉄久留米駅前,福岡県久留米市天神町1丁目1米城ビルディング9F
R_SPACES博多駅前,福岡県福岡市博多区博多駅前3丁目4-25アクロスキューブ博多駅前
R_熊本PLACE花畑,"熊本県熊本市中央区新市街1-28THE･PLACE花畑ビル6F,7F"
R_熊本下通,熊本県熊本市中央区下通1-3-8下通NSビル6F
R_オープンオフィス熊本銀座通り,熊本県熊本市中央区中央街4-22アルバ銀座通りビル5F?8F
R_小倉駅前,福岡県北九州市小倉北区米町1-1-1小倉駅前ひびきビル6F
R_オープンオフィス小倉,"福岡県北九州市小倉北区鍛冶町1-1-1北九州東洋ビル3F,5F"
R_長崎BizPORT,長崎県長崎市元船町9-18長崎BizPORT2F
R_大分駅北口,大分県大分市金池町2-4-6九州電力大分別館1F
R_オープンオフィス大分,大分県大分市府内町3-4-20大分恒和ビル4F
R_宮崎橘通,宮崎県宮崎市橘通東4-1-4河北ビル1F～3F
